"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"234262_at",1.43239092127691,6.15060251269849,2.9431436191974,0.00373962627538632,0.0425176864213277,-2.1721988683402,NA,NA,NA
"1563414_at",1.56094916464078,6.10974528308611,2.94261065786052,0.00374572916485174,0.0425774685696194,-2.17363861537848,NA,NA,NA
"1565908_at",1.63584176916584,4.84954266548883,2.9423539106627,0.00374867241300743,0.0426013164121731,-2.17433211179301,"NADSYN1","55191","NAD synthetase 1"
"220348_at",1.43213141460212,6.2107004418908,2.94187302018,0.00375419086125157,0.0426544124431787,-2.17563089339489,"KLHL29","114818","kelch like family member 29"
"230663_at",1.191763447769,6.71852156215432,2.94146102447174,0.00375892463653224,0.0426985712431511,-2.17674345442954,NA,NA,NA
"230132_at",1.61278963116692,5.96310016439579,2.94109802847136,0.00376309994948026,0.0427301856203068,-2.17772358053089,"PCAT19","100505495","prostate cancer associated transcript 19"
"242157_at",1.56388452803333,4.82386320758758,2.94107166267481,0.00376340338422932,0.0427301856203068,-2.17779476665812,"CHD9","80205","chromodomain helicase DNA binding protein 9"
"237481_at",1.72200540226554,3.5407192937565,2.94062648053612,0.00376853022080709,0.0427787593826348,-2.17899664674584,"ACAD10","80724","acyl-CoA dehydrogenase family member 10"
"226031_at",-1.29923898505384,8.78973297407966,-2.94047174075751,0.00377031374570343,0.0427893679570363,-2.17941436731203,"VPS50","55610","VPS50 subunit of EARP/GARPII complex"
"203906_at",-0.779940210484265,10.555765830022,-2.9403373550866,0.00377186329821067,0.0427973169952985,-2.17977712598279,"IQSEC1","9922","IQ motif and Sec7 domain ArfGEF 1"
"220728_at",1.2983015483633,6.56848598486465,2.94025768735096,0.00377278219386388,0.0427981083396204,-2.17999217289355,NA,NA,NA
"201936_s_at",0.914092836496474,9.6587236927644,2.93946463696139,0.00378194052120537,0.0428923456816543,-2.18213256829369,"EIF4G3","8672","eukaryotic translation initiation factor 4 gamma 3"
"1558450_at",1.16264065871837,5.77135874147047,2.93937477317532,0.00378297957427105,0.0428944777329213,-2.18237507276358,"A2M","2","alpha-2-macroglobulin"
"232587_at",1.55536850634311,5.60624749782489,2.93914152039774,0.00378567778965112,0.0429154175160157,-2.18300449279692,"EML4","27436","EMAP like 4"
"1554807_a_at",1.12815239856625,6.95232429496007,2.93901912955577,0.00378709428538563,0.0429218212452712,-2.18333474005149,"SPIRE1","56907","spire type actin nucleation factor 1"
"220552_at",1.94363997391353,3.88789452045898,2.93864052873527,0.00379147911747783,0.0429618567895683,-2.1843562410976,"TRPC5","7224","transient receptor potential cation channel subfamily C member 5"
"218194_at",-0.720513872140224,9.19728964190548,-2.93811149547926,0.00379761401062798,0.0430217001010701,-2.18578342649195,"REXO2","25996","RNA exonuclease 2"
"210878_s_at",-0.972347867595137,7.10494353699465,-2.93747144515666,0.00380504847746127,0.0430962355758484,-2.18750979871008,"KDM3B","51780","lysine demethylase 3B"
"43544_at",0.997834806937439,8.77255465070183,2.93721796585444,0.00380799644029119,0.0431199345286713,-2.18819340158349,"MED16","10025","mediator complex subunit 16"
"1561100_at",-1.55167676680982,3.4726976602823,-2.93710306537205,0.0038093334222117,0.043121750215124,-2.18850325688094,NA,NA,NA
"206581_at",1.56758708861621,4.3692159931885,2.93705713973455,0.00380986793333361,0.043121750215124,-2.1886271027874,"BNC1","646","basonuclin zinc finger protein 1"
"215350_at",1.74493605382506,3.92088729873364,2.93669380642121,0.00381409905812498,0.0431551811305119,-2.18960682888928,"SYNE1","23345","spectrin repeat containing nuclear envelope protein 1"
"1554510_s_at",-1.03936931550736,7.32144290654773,-2.93665647176595,0.00381453407544356,0.0431551811305119,-2.18970749543496,"GHITM","27069","growth hormone inducible transmembrane protein"
"202961_s_at",-0.98974817082202,10.3971867421246,-2.9365769693532,0.00381546057625201,0.0431559758760497,-2.18992185635855,"ATP5MF","9551","ATP synthase membrane subunit f"
"207440_at",1.61582011974111,4.58894270911282,2.93649919666018,0.0038163671190791,0.0431565445745358,-2.19013154845867,"SLC35A2","7355","solute carrier family 35 member A2"
"235326_at",1.75140453321581,4.49005218982081,2.93637024534875,0.00381787065127332,0.0431638624259368,-2.19047921832651,NA,NA,NA
"210896_s_at",-1.28315232286787,6.91499900495718,-2.93614421984328,0.00382050734929953,0.0431839854030154,-2.19108858024586,"ASPH","444","aspartate beta-hydroxylase"
"223839_s_at",-1.13014038829111,9.63346607704467,-2.93581962876191,0.003824296784744,0.043212587491866,-2.19196360049021,NA,NA,NA
"241294_at",1.33191632523605,6.08151569638883,2.93578061002624,0.00382475254064829,0.043212587491866,-2.19206877989499,NA,NA,NA
"217785_s_at",-1.72067239667687,4.07154367484733,-2.93551259280397,0.00382788444572156,0.0432382796837321,-2.19279121684214,"YKT6","10652","YKT6 vesicular SNARE protein"
"228015_s_at",1.65098040283699,4.00347390261134,2.93538720204313,0.00382935050224475,0.0432451478072234,-2.19312918579925,"TRIM8","81603","tripartite motif containing 8"
"205606_at",1.69126131686606,5.72029724667445,2.93499856468204,0.00383389768475295,0.0432849253776104,-2.19417660826091,"LRP6","4040","LDL receptor related protein 6"
"217310_s_at",1.5514015605316,4.89582650347723,2.93493939519887,0.00383459042104384,0.0432849253776104,-2.1943360659773,"FOXJ3","22887","forkhead box J3"
"202019_s_at",-1.48031693986538,6.47494805679744,-2.93477586540101,0.00383650556974619,0.0432877537052155,-2.1947767526916,"LANCL1","10314","LanC like glutathione S-transferase 1"
"234157_at",1.76697060380617,4.52844467957408,2.93477132851641,0.00383655871512862,0.0432877537052155,-2.1947889785593,NA,NA,NA
"225583_at",-0.961520181519631,9.41121510740082,-2.9341139382811,0.00384426657156881,0.0433650133110205,-2.19656031676281,"UXS1","80146","UDP-glucuronate decarboxylase 1"
"221208_s_at",1.04370257193303,7.62485102800953,2.93385326180504,0.00384732691638702,0.0433898241022202,-2.19726261153765,"MSANTD2","79684","Myb/SANT DNA binding domain containing 2"
"236134_at",1.28563488272921,5.97330935746964,2.93372073122848,0.00384888368352019,0.043397670365347,-2.19761964400028,"DCAF7","10238","DDB1 and CUL4 associated factor 7"
"242223_at",1.30409002487938,6.57226905015681,2.93340985630924,0.00385253763533055,0.0434291544080284,-2.19845707302053,NA,NA,NA
"212821_at",1.14349637507024,6.72795797553285,2.93304701956029,0.00385680635786098,0.0434675530506599,-2.1994343756553,"PLEKHG3","26030","pleckstrin homology and RhoGEF domain containing G3"
"224763_at",-0.934567976376377,9.2478327953952,-2.93247019146252,0.00386360158862269,0.0435344027874295,-2.20098784292071,"RPL37","6167","ribosomal protein L37"
"207787_at",1.58171174537743,4.13855935091342,2.9322169947251,0.00386658779821124,0.0435573798061665,-2.20166964596701,"KRT33B","3884","keratin 33B"
"210933_s_at",1.14782924637335,8.04003049452883,2.93215077101052,0.00386736919173419,0.0435573798061665,-2.20184796317359,"FSCN1","6624","fascin actin-bundling protein 1"
"233611_at",1.36586970937444,7.10514279769156,2.93185825198881,0.00387082244453083,0.0435788757652842,-2.20263557115503,NA,NA,NA
"222887_s_at",-0.955520968337529,7.61780585446009,-2.93184262032468,0.0038710070594071,0.0435788757652842,-2.20267765746372,"TMEM127","55654","transmembrane protein 127"
"243919_at",1.70555831444002,5.02334944876725,2.93176087038835,0.00387197268344611,0.0435800123310334,-2.20289775572162,NA,NA,NA
"206730_at",1.51120038337754,11.5588012600385,2.93162805635169,0.00387354194373105,0.043582520301826,-2.20325532398928,"GRIA3","2892","glutamate ionotropic receptor AMPA type subunit 3"
"1557685_at",1.6524301668487,5.46599261470099,2.93159564894253,0.00387392494101665,0.043582520301826,-2.20334257056297,"ASAP1-IT2","100507117","ASAP1 intronic transcript 2"
"230235_at",0.844473869235676,7.99717903666227,2.93146500732377,0.00387546924216714,0.0435901640871381,-2.20369427256345,"MCTS1","28985","MCTS1 re-initiation and release factor"
"231409_at",1.70861850923064,3.62786449252219,2.93131778982767,0.00387721016158774,0.0436000154739365,-2.20409058192999,NA,NA,NA
"218653_at",-1.42655001594766,5.34271735280958,-2.93111279526941,0.00387963551783181,0.0436109962955386,-2.20464239749684,"SLC25A15","10166","solute carrier family 25 member 15"
"1566509_s_at",1.15780658159286,9.15848285029639,2.93108899371712,0.0038799172117457,0.0436109962955386,-2.20470646558495,"FBXO9","26268","F-box protein 9"
"218107_at",-0.897383542971357,7.84481877442574,-2.93052084144852,0.00388664692448252,0.0436768989165761,-2.20623565777406,"WDR26","80232","WD repeat domain 26"
"211262_at",1.5876327730736,3.79378238757049,2.92933779847451,0.00390069432418693,0.0438249876579013,-2.20941899010654,"PCSK6","5046","proprotein convertase subtilisin/kexin type 6"
"229734_at",-1.16330089119523,7.66102339215997,-2.92921974724943,0.00390209861066558,0.0438309944453211,-2.2097365793949,NA,NA,NA
"200814_at",-1.36699962300379,7.52070685142429,-2.92907200790474,0.00390385670730179,0.0438409719039032,-2.21013402154343,"PSME1","5720","proteasome activator subunit 1"
"212699_at",-1.09413088136097,9.20777171953575,-2.92897145768895,0.00390505366914843,0.0438446446822789,-2.21040450725227,"SCAMP5","192683","secretory carrier membrane protein 5"
"208852_s_at",-0.931534377953755,8.64541683411443,-2.92840173135487,0.00391184211729651,0.0439110811923968,-2.21193694638858,"CANX","821","calnexin"
"239484_at",0.856705214378866,7.18067410755718,2.92827050400644,0.00391340726011907,0.0439188686967849,-2.21228988151202,"TRPM7","54822","transient receptor potential cation channel subfamily M member 7"
"214179_s_at",-0.75971705445094,10.1212461274242,-2.92816873394443,0.0039146214624652,0.043922715122375,-2.21256358172587,"NFE2L1","4779","NFE2 like bZIP transcription factor 1"
"233040_at",1.58704532058886,4.33045931093038,2.92766376121065,0.00392065132212388,0.0439765500828024,-2.21392152879864,"PLEKHA5","54477","pleckstrin homology domain containing A5"
"230440_at",0.885128084435356,7.94802591988418,2.92762081101402,0.00392116458149866,0.0439765500828024,-2.21403701863849,"ZNF469","84627","zinc finger protein 469"
"243304_at",1.12403920039142,6.23283527829577,2.92744620158041,0.00392325181700066,0.0439901701509789,-2.21450651465832,"AGO2","27161","argonaute RISC catalytic component 2"
"219973_at",1.632371944917,4.61788461358305,2.92733452771623,0.00392458727119598,0.0439953565515011,-2.21480677418154,"ARSJ","79642","arylsulfatase family member J"
"212491_s_at",-0.819522081997647,8.72765324440256,-2.92722136208142,0.00392594098991781,0.044000745348643,-2.21511103421973,"DNAJC8","22826","DnaJ heat shock protein family (Hsp40) member C8"
"244475_at",1.29929579985668,6.17078753257659,2.92636012352876,0.00393625739954842,0.0441018917395977,-2.21742623816127,NA,NA,NA
"232858_at",1.43383489220329,5.81586097358708,2.92622615593101,0.00393786437216599,0.0441018917395977,-2.2177863186661,NA,NA,NA
"231324_at",1.8623947588389,5.4643662651441,2.92617598411001,0.00393846634966165,0.0441018917395977,-2.21792116759422,NA,NA,NA
"241783_at",0.961640747661793,6.29013562113404,2.92615529581377,0.003938714598998,0.0441018917395977,-2.21797677180286,NA,NA,NA
"226085_at",1.21543967487931,10.4051210262296,2.92610311398741,0.00393934081886607,0.0441018917395977,-2.21811702003109,"CBX5","23468","chromobox 5"
"241590_at",1.46589591131057,2.95056713595972,2.92579001819441,0.00394310011337694,0.0441341747311372,-2.21895847548197,NA,NA,NA
"228818_at",1.4930510112629,6.27457322989011,2.92535794651915,0.00394829333466945,0.044176775280328,-2.2201195505363,NA,NA,NA
"242562_at",1.3727017260167,5.98849082166568,2.92532752598517,0.00394865920592603,0.044176775280328,-2.22020129167202,NA,NA,NA
"1559369_at",1.03518915512551,6.19108890128899,2.92516107499519,0.00395066168146285,0.044188995347775,-2.22064853839121,"TRAPPC13","80006","trafficking protein particle complex subunit 13"
"222245_s_at",1.11036987759696,6.61925573113654,2.92509100173032,0.00395150497078276,0.044188995347775,-2.2208368154695,"FER1L4","80307","fer-1 like family member 4 (pseudogene)"
"1569472_s_at",1.68728488539513,5.29168457953287,2.92481972324723,0.0039547711993248,0.0442157105628148,-2.22156566488574,"TTC3","7267","tetratricopeptide repeat domain 3"
"210981_s_at",0.973601229828475,7.23318322567328,2.92470757116845,0.00395612224803283,0.0442210063036377,-2.22186696851435,"GRK6","2870","G protein-coupled receptor kinase 6"
"223113_at",-1.13096663041331,6.305149403128,-2.92459732413185,0.00395745075988257,0.0442260478378806,-2.22216314406806,"TMEM138","51524","transmembrane protein 138"
"208076_at",1.54860003963901,5.1953054387006,2.92422761671637,0.00396190883766163,0.0442660534974471,-2.22315627981142,"H4C4","8360","H4 clustered histone 4"
"235093_at",1.25658509335843,7.5288058497308,2.92391062647515,0.00396573489626168,0.0442989814952316,-2.22400771342586,"PEX13","5194","peroxisomal biogenesis factor 13"
"217808_s_at",-0.975742562886861,6.81625764153717,-2.92320289780256,0.00397428937655355,0.0443832268691198,-2.22590837022869,"MAPKAP1","79109","MAPK associated protein 1"
"241489_at",1.07883825370056,6.56830321514521,2.92314103601035,0.00397503791764462,0.0443832268691198,-2.22607448503461,NA,NA,NA
"212301_at",-1.10943543079746,8.38398387856523,-2.92204088820543,0.00398837154790324,0.0445222401740579,-2.22902813996666,"RTF1","23168","RTF1 homolog, Paf1/RNA polymerase II complex component"
"211912_at",1.60799175727405,4.92359057286011,2.92187315318425,0.00399040806963841,0.0445310578459738,-2.22947838434124,"MERTK","10461","MER proto-oncogene, tyrosine kinase"
"218886_at",1.01421782223607,7.86665294775654,2.92183029974414,0.00399092851908223,0.0445310578459738,-2.22959341040435,"PAK1IP1","55003","PAK1 interacting protein 1"
"1561440_at",1.73645728436065,4.20607082828062,2.92147225452727,0.00399527936370095,0.0445697377622602,-2.23055440693548,NA,NA,NA
"242732_at",1.67630638311697,5.40335634434734,2.92139555833576,0.00399621191511776,0.0445702758871101,-2.23076024650821,NA,NA,NA
"244774_at",1.95172915618455,5.12011734347731,2.92082770648333,0.00400312265296397,0.0446318877504385,-2.23228411437356,"PHACTR2","9749","phosphatase and actin regulator 2"
