"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME"
"38043_at",-1.69314762775224,7.44874619373108,-4.96586214531586,1.75981799057895e-06,0.000145642999249868,4.80105170763037,"FAM3A","60343","FAM3 metabolism regulating signaling molecule A"
"218224_at",-1.9744854218186,10.8953207298496,-4.96278896929967,1.78407313003085e-06,0.000147367560413863,4.78820588332057,"PNMA1","9240","PNMA family member 1"
"203185_at",1.64744076969784,8.11638189045254,4.96248323249954,1.78650382756037e-06,0.000147367560413863,4.78692822222336,"RASSF2","9770","Ras association domain family member 2"
"225785_at",1.74542851332566,8.41136075271656,4.96052080805202,1.8021823380125e-06,0.000148417960814,4.77872868553835,"REEP3","221035","receptor accessory protein 3"
"206332_s_at",2.16059322753617,7.11600744116677,4.95737386869181,1.82760337335973e-06,0.000150265966754818,4.76558481172874,"IFI16","3428","interferon gamma inducible protein 16"
"208147_s_at",-1.84555100245048,6.79275349188327,-4.95605183824302,1.83838620247452e-06,0.000150906356662733,4.76006486075234,"CYP2C8","1558","cytochrome P450 family 2 subfamily C member 8"
"219324_at",-2.36761358733237,5.88937179611765,-4.95449673247019,1.85114905106869e-06,0.000151706932232379,4.7535730970396,"NOL12","79159","nucleolar protein 12"
"206349_at",-1.82099981022529,10.1669908618137,-4.94919574432874,1.89530360400051e-06,0.000155073371664334,4.73145526366123,"LGI1","9211","leucine rich glioma inactivated 1"
"204287_at",-1.39052733725522,9.73964239944408,-4.9480630785086,1.90486972074879e-06,0.00015538419963321,4.72673154859843,"SYNGR1","9145","synaptogyrin 1"
"206135_at",2.28370153998279,7.40240296404091,4.94801598672124,1.90526845446169e-06,0.00015538419963321,4.72653517203065,"ST18","9705","ST18 C2H2C-type zinc finger transcription factor"
"227847_at",-1.48002542969528,10.5863613319908,-4.94453748398981,1.93494638608199e-06,0.000157549649119416,4.71203326886618,"EPM2AIP1","9852","EPM2A interacting protein 1"
"213387_at",2.23689179320714,6.66266351734849,4.94226645066181,1.95456379429576e-06,0.000158648069647804,4.70256929256657,"ATAD2B","54454","ATPase family AAA domain containing 2B"
"204922_at",-2.81674456845116,4.95634198660449,-4.94224706536082,1.9547320737939e-06,0.000158648069647804,4.70248852259524,"TOP6BL","79703","TOP6B like initiator of meiotic double strand breaks"
"231123_at",-3.02628542257741,4.69310862564362,-4.93956190840571,1.97817758685694e-06,0.000160230649678224,4.69130287576552,"TRIM36","55521","tripartite motif containing 36"
"230359_at",-1.30857562493896,8.75673244240788,-4.93896138235641,1.98345828714306e-06,0.000160230649678224,4.68880184629526,"KNDC1","85442","kinase non-catalytic C-lobe domain containing 1"
